"Survived","Pclass","Sex","Fare","AgeGroup","Embarked","FamilySize","Title"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"female",7.925,3,"S",2,"Miss"
0,3,"female",7.925,3,"S",2,"Miss"
0,1,"female",28.7125,4,"C",1,"Miss"
1,1,"male",0,4,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,2,"male",27,6,"S",2,"Mr"
1,2,"female",27,3,"S",4,"Miss"
1,3,"male",7.8958,3,"C",1,"Mr"
1,3,"male",7.7958,1,"S",1,"Mr"
0,3,"male",7.05,3,"S",1,"Mr"
0,2,"male",15,6,"S",1,"Mr"
0,2,"male",31.5,3,"S",3,"Mr"
0,2,"male",31.5,1,"S",3,"Mr"
0,2,"male",10.5,7,"S",1,"Mr"
0,3,"male",7.8542,1,"S",1,"Mr"
0,3,"male",7.8542,4,"S",1,"Mr"
0,3,"male",7.0542,1,"S",2,"Mr"
1,3,"female",7.75,1,"Q",1,"Miss"
1,2,"female",13.7917,1,"C",1,"Miss"
1,3,"male",8.1125,3,"S",1,"Mr"
0,3,"male",6.4958,7,"S",1,"Mr"
1,3,"male",7.775,3,"S",1,"Mr"
0,3,"male",7.7958,1,"S",1,"Mr"
0,3,"male",8.6542,7,"S",1,"Mr"
0,3,"male",7.775,7,"S",1,"Mr"
0,3,"male",7.8542,3,"S",1,"Mr"
1,3,"male",11.1333,2,"S",3,"Master"
1,3,"female",11.1333,2,"S",3,"Miss"
0,3,"male",0,4,"S",1,"Mr"
0,3,"male",7.775,7,"S",1,"Mr"
0,3,"male",0,1,"S",1,"Mr"
1,3,"female",11.1333,3,"S",3,"Miss"
0,3,"male",23.45,2,"S",4,"Master"
0,3,"female",23.45,1,"S",4,"Miss"
0,3,"male",23.45,3,"S",4,"Mr"
0,3,"female",23.45,1,"S",4,"Miss"
0,1,"male",26,6,"S",1,"Mr"
0,3,"male",7.8958,1,"S",1,"Mr"
1,3,"male",7.8542,7,"S",1,"Mr"
0,3,"male",7.8542,3,"S",1,"Mr"
0,1,"male",26,4,"S",1,"Mr"
0,3,"female",9.825,1,"S",2,"Miss"
0,3,"female",9.825,1,"S",2,"Miss"
1,3,"male",7.925,7,"S",1,"Mr"
0,3,"male",7.125,1,"S",1,"Mr"
0,3,"male",8.4333,1,"S",1,"Mr"
0,2,"male",26,7,"S",2,"Mr"
1,2,"female",26,3,"S",2,"Miss"
0,3,"male",7.8958,3,"S",1,"Mr"
1,3,"male",7.7958,1,"S",1,"Mr"
0,3,"male",7.8542,7,"S",1,"Mr"
0,3,"male",7.5208,1,"S",1,"Mr"
0,2,"female",21,1,"S",1,"Miss"
1,3,"female",13.4167,2,"C",2,"Miss"
1,3,"male",13.4167,6,"C",2,"Mr"
0,3,"male",7.2292,3,"C",1,"Mr"
0,3,"male",7.2292,1,"C",1,"Mr"
1,2,"female",12.35,3,"Q",1,"Miss"
0,3,"male",7.75,3,"Q",1,"Mr"
0,2,"male",12.35,7,"Q",1,"Mr"
0,3,"male",7.25,3,"S",1,"Mr"
0,1,"male",211.5,7,"C",1,"Mr"
1,3,"female",7.75,1,"Q",1,"Miss"
1,3,"female",7.75,1,"Q",1,"Miss"
0,3,"male",7.8292,7,"Q",1,"Mr"
0,3,"male",8.05,6,"S",1,"Mr"
1,2,"female",13.5,6,"S",1,"Miss"
1,3,"male",7.75,3,"Q",1,"Mr"
0,1,"male",29.7,4,"C",1,"Mr"
0,1,"male",51.8625,6,"S",2,"Mr"
1,1,"female",51.8625,7,"S",2,"Miss"
0,3,"male",14.4542,3,"C",2,"Mr"
0,3,"female",14.4542,1,"C",2,"Miss"
0,3,"male",7.75,3,"Q",2,"Mr"
0,3,"male",7.75,3,"Q",2,"Mr"
0,3,"male",7.7375,3,"Q",1,"Mr"
1,1,"male",52.5542,6,"S",2,"Mr"
1,1,"female",52.5542,6,"S",2,"Miss"
0,3,"female",8.6625,1,"S",3,"Miss"
0,3,"male",8.6625,3,"S",3,"Mr"
1,3,"female",22.025,2,"S",3,"Miss"
1,3,"male",22.025,3,"S",5,"Mr"
1,3,"female",22.025,3,"S",3,"Miss"
0,2,"male",12.35,4,"Q",1,"Nobelty"
0,1,"male",26.55,6,"S",1,"Mr"
0,3,"female",12.1833,2,"S",3,"Miss"
0,3,"male",7.8542,1,"S",3,"Mr"
0,3,"female",12.1833,7,"S",3,"Miss"
0,2,"male",0,7,"S",1,"Mr"
0,3,"male",7.8958,3,"C",1,"Mr"
1,3,"male",7.2292,3,"C",1,"Mr"
1,1,"female",211.3375,6,"S",1,"Miss"
0,2,"male",10.5,7,"S",1,"Mr"
0,3,"male",7.225,3,"C",1,"Mr"
0,2,"female",26,3,"S",3,"Miss"
0,2,"male",26,3,"S",3,"Nobelty"
0,3,"female",9.5875,7,"S",1,"Miss"
0,3,"male",7.8958,3,"S",1,"Mr"
1,3,"male",56.4958,3,"S",1,"Mr"
0,3,"male",56.4958,3,"S",1,"Mr"
0,2,"male",10.7083,7,"Q",1,"Mr"
1,3,"female",7.25,1,"S",1,"Miss"
0,3,"male",7.75,3,"Q",1,"Mr"
1,3,"male",56.4958,3,"S",1,"Mr"
1,2,"female",41.5792,2,"C",4,"Miss"
1,2,"female",41.5792,2,"C",4,"Miss"
0,2,"male",41.5792,3,"C",4,"Mr"
1,2,"female",41.5792,1,"C",4,"Miss"
0,3,"male",9.4833,3,"S",1,"Mr"
0,3,"male",7.775,3,"S",1,"Mr"
0,3,"male",7.775,1,"S",1,"Mr"
1,1,"female",25.9292,4,"S",1,"Nobelty"
1,3,"male",7.225,1,"C",1,"Mr"
0,3,"male",25.4667,2,"S",5,"Master"
0,3,"female",25.4667,1,"S",5,"Miss"
0,3,"female",25.4667,1,"S",5,"Miss"
0,3,"female",25.4667,1,"S",5,"Miss"
0,3,"female",25.4667,3,"S",5,"Miss"
1,2,"female",12,1,"C",1,"Miss"
0,3,"male",7.925,7,"S",1,"Mr"
1,2,"female",33,3,"S",1,"Miss"
0,3,"male",6.4375,7,"C",1,"Mr"
1,2,"female",10.5,7,"S",1,"Miss"
0,3,"female",15.5,1,"Q",2,"Miss"
0,3,"male",15.5,3,"Q",2,"Mr"
0,3,"male",0,7,"S",1,"Mr"
1,1,"female",106.425,3,"C",1,"Miss"
0,3,"male",24.15,6,"S",1,"Mr"
1,1,"male",512.3292,7,"C",1,"Mr"
0,2,"male",12.875,7,"C",1,"Mr"
0,1,"male",27.7208,6,"C",1,"Mr"
0,2,"male",10.5,3,"S",1,"Mr"
0,3,"male",9.5,3,"S",1,"Mr"
0,3,"female",7.775,3,"S",1,"Miss"
0,3,"female",7.75,6,"S",1,"Miss"
0,1,"male",26.55,6,"S",1,"Mr"
0,3,"male",15.55,7,"S",2,"Mr"
0,3,"female",15.55,3,"S",2,"Miss"
1,3,"male",7.925,1,"S",2,"Mr"
1,1,"female",27.7208,4,"C",1,"Miss"
0,3,"male",7.8792,3,"Q",1,"Mr"
1,1,"female",39.4,1,"S",2,"Miss"
1,1,"female",39.4,4,"S",2,"Miss"
0,3,"male",56.4958,3,"S",1,"Mr"
0,2,"male",12.35,5,"Q",1,"Mr"
0,3,"male",7.55,3,"S",1,"Mr"
0,3,"male",16.1,3,"S",2,"Mr"
0,3,"female",16.1,3,"S",2,"Miss"
0,3,"male",7.8792,3,"S",1,"Mr"
0,1,"male",30,3,"S",1,"Mr"
1,1,"female",77.9583,1,"S",1,"Miss"
0,1,"male",45.5,3,"S",1,"Mr"
0,2,"male",26,4,"S",2,"Mr"
1,2,"female",26,6,"S",2,"Miss"
0,3,"male",7.25,1,"S",1,"Mr"
1,3,"male",8.6625,3,"S",1,"Mr"
0,3,"male",7.0542,4,"S",1,"Mr"
1,3,"female",7.8542,1,"S",1,"Miss"
1,3,"male",7.5792,7,"S",1,"Mr"
1,1,"female",146.5208,4,"C",1,"Miss"
0,3,"male",7.8958,3,"S",1,"Mr"
0,2,"female",10.5,4,"S",1,"Miss"
0,3,"male",7.55,3,"S",1,"Mr"
1,3,"female",7.75,1,"Q",1,"Miss"
1,1,"female",211.3375,1,"S",2,"Miss"
1,3,"male",7.1417,3,"S",1,"Mr"
0,3,"male",7.125,1,"S",1,"Mr"
0,1,"male",26,3,"S",1,"Mr"
0,3,"female",7.8792,1,"Q",1,"Miss"
0,3,"male",7.75,3,"Q",1,"Mr"
1,1,"female",86.5,1,"S",1,"Miss"
0,3,"male",8.05,3,"S",1,"Mr"
0,3,"male",7.925,3,"S",1,"Mr"
0,2,"male",15.0458,7,"C",1,"Mr"
1,2,"male",37.0042,2,"C",3,"Master"
0,2,"male",37.0042,7,"C",3,"Mr"
1,2,"female",37.0042,3,"C",3,"Miss"
1,3,"male",7.2292,3,"C",1,"Mr"
0,3,"female",7.75,3,"Q",1,"Miss"
0,2,"male",15.5792,7,"C",1,"Mr"
1,3,"female",7.7375,1,"Q",1,"Miss"
0,3,"male",7.2292,3,"C",1,"Mr"
1,1,"male",29.7,6,"C",1,"Mr"
0,3,"male",7.8958,7,"C",1,"Mr"
0,3,"male",7.8958,7,"S",1,"Mr"
0,1,"male",53.1,1,"S",2,"Mr"
1,1,"female",53.1,1,"S",2,"Miss"
1,3,"female",7.225,1,"C",1,"Miss"
0,3,"male",7.8958,3,"C",1,"Mr"
0,2,"male",13,3,"S",1,"Mr"
0,2,"male",16,6,"S",1,"Mr"
1,1,"female",49.5042,3,"C",1,"Miss"
0,1,"male",75.2417,6,"C",1,"Mr"
1,3,"female",7.75,1,"Q",1,"Miss"
0,1,"male",51.8625,4,"S",1,"Mr"
1,3,"male",7.75,3,"Q",1,"Mr"
1,3,"female",23.25,1,"Q",3,"Miss"
1,3,"female",23.25,1,"Q",3,"Miss"
1,3,"male",23.25,3,"Q",3,"Mr"
0,2,"male",13.5,7,"S",1,"Mr"
0,2,"male",13,3,"S",1,"Mr"
1,3,"female",7.7875,1,"Q",1,"Miss"
0,3,"male",15.5,3,"Q",1,"Mr"
1,1,"male",26.2875,7,"S",1,"Mr"
1,3,"female",7.8792,1,"Q",1,"Miss"
1,3,"female",8.0292,1,"Q",1,"Miss"
0,3,"female",7.75,7,"Q",1,"Miss"
0,2,"male",26,6,"S",1,"Mr"
0,3,"male",7.75,3,"Q",1,"Mr"
0,3,"male",16.1,3,"S",2,"Mr"
0,3,"female",16.1,1,"S",2,"Miss"
0,3,"female",7.75,1,"Q",1,"Miss"
0,3,"female",8.05,1,"S",1,"Miss"
0,3,"female",8.05,1,"S",1,"Miss"
1,2,"female",19.5,1,"S",2,"Miss"
1,2,"female",19.5,6,"S",2,"Miss"
1,2,"male",10.5,1,"S",1,"Mr"
0,3,"male",8.05,4,"S",1,"Mr"
0,3,"male",7.75,3,"Q",1,"Mr"
0,2,"male",13,6,"S",1,"Mr"
0,1,"male",82.1708,3,"C",2,"Mr"
1,1,"female",82.1708,7,"C",2,"Miss"
1,3,"male",7.775,1,"S",1,"Mr"
0,3,"male",8.05,3,"S",1,"Mr"
0,1,"male",26.55,5,"S",1,"Mr"
0,2,"male",13,4,"S",1,"Mr"
0,1,"male",90,6,"Q",3,"Nobelty"
1,1,"female",90,7,"Q",2,"Miss"
1,1,"female",90,7,"Q",2,"Miss"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"male",7.8958,1,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,2,"male",10.5,5,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
1,1,"male",57.75,3,"C",2,"Mr"
1,3,"female",7.8792,1,"Q",1,"Miss"
0,3,"male",7.65,3,"S",1,"Mr"
0,1,"male",30.5,4,"S",1,"Mr"
0,2,"male",13,3,"S",1,"Nobelty"
1,3,"male",12.475,2,"S",2,"Master"
1,3,"female",12.475,3,"S",2,"Miss"
0,1,"male",42.4,6,"S",1,"Mr"
0,3,"male",8.05,3,"S",1,"Mr"
1,3,"female",24.15,1,"Q",2,"Miss"
0,3,"male",24.15,3,"Q",2,"Mr"
0,3,"male",8.4583,3,"Q",1,"Mr"
0,2,"male",14,4,"S",1,"Nobelty"
0,2,"male",26,6,"S",1,"Mr"
0,3,"male",8.05,7,"S",1,"Mr"
0,3,"male",7.75,3,"Q",1,"Mr"
1,3,"male",7.775,3,"S",1,"Mr"
1,3,"male",15.2458,2,"C",3,"Master"
1,3,"male",15.2458,2,"C",3,"Master"
1,3,"female",15.2458,3,"C",3,"Miss"
1,3,"female",7.2292,1,"C",1,"Miss"
0,3,"male",8.05,3,"S",1,"Mr"
0,2,"male",10.5,1,"S",1,"Mr"
1,3,"female",7.7333,1,"Q",1,"Miss"
1,3,"female",7.75,3,"Q",1,"Miss"
0,3,"male",8.05,3,"S",1,"Mr"
1,3,"female",15.5,1,"Q",2,"Miss"
1,3,"female",15.5,1,"Q",2,"Miss"
1,3,"female",15.5,1,"Q",1,"Miss"
0,3,"male",7.75,1,"S",1,"Mr"
0,2,"male",9.6875,5,"Q",1,"Mr"
0,3,"male",7.8958,1,"S",1,"Mr"
1,3,"female",7.225,1,"C",1,"Miss"
1,3,"female",15.7417,2,"C",3,"Miss"
1,3,"male",15.7417,1,"C",3,"Mr"
1,3,"female",15.7417,1,"C",3,"Miss"
0,3,"male",8.05,7,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"male",7.2292,3,"C",1,"Mr"
0,2,"male",30.0708,7,"C",2,"Mr"
1,2,"female",30.0708,1,"C",2,"Miss"
0,1,"male",29.7,7,"C",2,"Mr"
0,3,"female",7.75,1,"Q",1,"Miss"
1,2,"male",26,2,"S",3,"Master"
1,2,"male",26,2,"S",3,"Master"
0,2,"male",26,7,"S",3,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,2,"male",13,3,"S",1,"Mr"
1,1,"female",113.275,7,"C",2,"Miss"
1,1,"female",113.275,1,"C",2,"Miss"
0,1,"male",113.275,4,"C",3,"Mr"
1,1,"female",26.2833,1,"S",3,"Miss"
0,2,"male",36.75,1,"S",3,"Mr"
0,1,"male",26,5,"S",1,"Mr"
1,3,"male",11.2417,2,"C",2,"Master"
1,3,"female",11.2417,1,"C",2,"Miss"
0,3,"female",7.925,3,"S",1,"Miss"
0,3,"male",8.05,3,"S",1,"Mr"
1,3,"female",7.775,1,"S",1,"Miss"
1,3,"female",7.8542,3,"S",1,"Miss"
0,3,"male",7.8542,1,"S",1,"Mr"
0,3,"male",7.125,6,"S",1,"Mr"
1,3,"male",7.925,6,"S",1,"Mr"
0,2,"male",13.5,3,"S",1,"Mr"
0,3,"male",7.8,1,"S",1,"Mr"
1,2,"male",13.8625,1,"C",1,"Mr"
0,3,"male",7.2292,3,"C",1,"Mr"
1,2,"female",10.5,3,"S",1,"Miss"
1,3,"female",7.75,1,"S",1,"Miss"
0,3,"male",6.2375,5,"S",1,"Mr"
0,3,"male",15.5,3,"Q",2,"Mr"
0,3,"male",7.8292,3,"Q",1,"Mr"
1,3,"female",15.5,1,"Q",2,"Miss"
0,3,"male",7.7333,3,"Q",1,"Mr"
0,3,"male",7.75,3,"Q",1,"Mr"
